time,xi_x,xi_y,xi_z,d_var_theta_x,d_var_theta_y,d_var_theta_z,var_theta_x,var_theta_y,var_theta_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
8.48,-0.08070047506218414,-0.07133546180947903,0.027707919824961236,2.9964501472992966,1.027758499622419,-1.7163273167402675,-0.8871006624378585,2.3060054614827235,1.1557569046309635,-3.755955887600748e-05,0.0008336806231210442,-7.31039197817869e-05,0.0027652792048600645,0.0024266789674895254,0.0009524521918976218,1.8815737466172802,1.695202477800692,-0.7777844969450163
8.49,-0.080689412975956,-0.07158130846315158,0.02768608569895248,3.009964315005789,0.9904780311054144,-1.744197398501269,-0.8570010192878006,2.3159102417937776,1.1383149306459508,-3.754186388867098e-05,0.0008340421584977636,-7.441266419282166e-05,0.002764903786221178,0.002435019389074503,0.0009517080652556936,1.8813550043236418,1.7001257745521032,-0.7772905371058446
8.5,-0.08067836325231914,-0.07182724920180394,0.02766390971539545,3.0230060987495455,0.9530010122708582,-1.771636313817421,-0.8267709583003051,2.3254402519164863,1.1205985675077765,-3.751704705773351e-05,0.0008343799368708826,-7.569690560471631e-05,0.0027645286157506007,0.002443363188443212,0.0009509510961996465,1.8811365032149456,1.7050491472455978,-0.7767887819805065
8.51,-0.08066732776016083,-0.07207327723410994,0.027641399323793614,3.035571990443059,0.9153320548139274,-1.79863725190252,-0.7964152383958745,2.3345935724646254,1.1026121949887513,-3.748534034819784e-05,0.0008346941820280979,-7.695620870505279e-05,0.0027641537623471187,0.002451710130263493,0.000950181534112596,1.8809182802652296,1.709972467508727,-0.7762793972939056
8.52,-0.08065630823149017,-0.07231938693397133,0.027618562176376482,3.047658589416084,0.8774759692521479,-1.8251935090156586,-0.7659386525017137,2.343368332157147,1.0843602598985946,-3.744704416019928e-05,0.0008349862179635043,-7.819005392795814e-05,0.0027637792919055167,0.002460059992443128,0.0009493996335733164,1.8807003697461304,1.7148956303757708,-0.77576255339077
8.53,-0.0806453063219188,-0.07256557364122829,0.027595406130662914,3.0592626186233876,0.8394377625418411,-1.8512984910131032,-0.7353460263154797,2.3517627097825655,1.0658472749884635,-3.740244666101955e-05,0.0008352579455357528,-7.939785906700692e-05,0.0027634052674389066,0.0024684125718984853,0.0009486056549826463,1.8804828044199755,1.719818550277189,-0.7752384253003126
8.540000000000001,-0.08063432365943557,-0.0728118335023642,0.027571939243370425,3.0703809405801294,0.8012226360804665,-1.8769457150111335,-0.7046422169096784,2.35977493614337,1.0470778178383522,-3.735177861977079e-05,0.000835511513178136,-8.057900354893621e-05,0.002763031749652709,0.002476767687030267,0.0009477998649471569,1.8802656165026845,1.724741157831041,-0.7747071926051713
8.55,-0.08062336188262875,-0.07305816334557313,0.027548169766066888,3.0810105729102855,0.7628359843069286,-1.9021288112337857,-0.6738321111805756,2.3674032959864393,1.0280565297260142,-3.72951921176895e-05,0.0008357491189193156,-8.173284382907015e-05,0.0027626587977315317,0.00248512517821946,0.0009469825365088662,1.8800488384188796,1.7296633973238453,-0.7741690393494663
8.56,-0.08061242267089297,-0.07330456058291546,0.02752410613992118,3.091148703595471,0.7242833936734512,-1.926841524768823,-0.6429206241446209,2.374646129923174,1.008788114478326,-3.7232753553939624e-05,0.0008359728977914982,-8.285872523325702e-05,0.0027622864701959925,0.0024934849071973748,0.0009461539492565335,1.8798325033990269,1.734585224735307,-0.7736241539263149
8.57,-0.08060150776835406,-0.0735510231334855,0.02749975699037277,3.1007927059690146,0.6855706417343141,-1.951077717326101,-0.6119126970849308,2.381501836340517,0.989277337305065,-3.71644449962405e-05,0.0008361848634150099,-8.39559904332772e-05,0.00276191482574603,0.002501846755831525,0.0009453143893522008,1.8796166459526769,1.739506606185231,-0.7730727289633536
8.58,-0.08059061900309372,-0.07379754936260463,0.0274751311214384,3.1099401535236186,0.6467036961073105,-1.9748313689800745,-0.5808132955496946,2.38796887330159,0.9695290236152642,-3.709016983328983e-05,0.0008363868828228788,-8.502398582922732e-05,0.0027615439240476973,0.0025102106246597537,0.0009444641494939086,1.879401302248931,1.7444275167026946,-0.7725149611999175
