time,d_delta_roll,d_delta_pitch,d_delta_yaw,delta_roll,delta_pitch,delta_yaw
1.71,0.07870527336492461,0.6199985337586307,0.03957403893988495,-0.09090305602237275,-0.18116561692905386,-0.007657013336735407
1.72,0.07433746837540645,0.5675451113521572,0.037932051794325385,-0.0901596813386187,-0.17549016581553228,-0.007277692818792153
1.73,0.07304132478094977,0.5168138941756573,0.036351414485633296,-0.0894292680908092,-0.1703220268737757,-0.0069141786739358195
1.74,0.07472288604803923,0.46808032960964996,0.034828152905222794,-0.0886820392303288,-0.16564122357767921,-0.0065658971448835915
1.75,0.07925727282303513,0.4215920601530516,0.03336012889088814,-0.08788946650209845,-0.1614253029761487,-0.00623229585597471
1.76,0.0864877602104227,0.3775741270407029,0.03194614455405965,-0.08702458889999422,-0.15764956170574168,-0.005912834410434113
1.77,0.09622319472840102,0.3362318841199101,0.0305847126918359,-0.08606235695271021,-0.15428724286454257,-0.005606987283515754
1.78,0.10823368115793514,0.29775142562053153,0.029272992940818025,-0.08498002014113086,-0.15130972860833725,-0.005314257354107574
1.79,0.12224373850184278,0.2622970486137591,0.028006266967203784,-0.08375758275611243,-0.14868675812219967,-0.0050341946844355365
1.8,0.13792088689909715,0.2300045809491883,0.02677772646744997,-0.08237837388712146,-0.14638671231270778,-0.004766417419761037
1.81,0.15485495101606955,0.20096786044529313,0.02557772949713723,-0.08082982437696076,-0.14437703370825486,-0.0045106401247896645
1.82,0.17251684267065925,0.17521194429385678,0.024391792298296012,-0.07910465595025418,-0.1426249142653163,-0.004266722201806705
1.83,0.19016747049813065,0.15263661046407895,0.02319799466612829,-0.07720298124527288,-0.1410985481606755,-0.004034742255145422
1.84,0.2066285485917974,0.13288191766332225,0.021967390414208983,-0.0751366957593549,-0.13976972898404227,-0.0038150683510033323
1.85,0.21959076740243183,0.1149421240278461,0.02067356433114115,-0.07294078808533058,-0.13862030774376383,-0.003608332707691921
1.86,0.2228143456164875,0.09566222033468064,0.019312387296674467,-0.07071264462916571,-0.13766368554041702,-0.003415208834725176
1.87,0.18441424495528658,0.05842631166468548,0.01791650358781621,-0.06886850217961285,-0.13707942242377016,-0.003236043798847014
1.8800000000000001,-0.01785296861618224,-0.06380926827881994,0.016558230584244802,-0.06904703186577467,-0.13771751510655836,-0.0030704614930045656
1.8900000000000001,0.09458028988589728,0.24357803157595243,0.015401581890146608,-0.0681012289669157,-0.13528173479079883,-0.0029164456741030994
1.9000000000000001,0.03690682533366113,0.2542676291020847,0.01377228066423172,-0.06773216071357908,-0.132739058499778,-0.0027787228674607824
1.9100000000000001,0.036965004884682406,0.24447486186627532,0.01244419087765462,-0.06736251066473226,-0.13029430988111523,-0.0026542809586842363
1.92,0.032463370928142055,0.24169069778025543,0.011119080788951595,-0.06703787695545084,-0.12787740290331268,-0.0025430901507947205
