time,d_delta_x,d_delta_y,d_delta_z,delta_x,delta_y,delta_z
1.34,2.0127355881733666,3.523639671228129,0.3148027174731117,-1.054862865067568,-2.018989067615305,-0.16579396619111947
1.35,1.9735247582420414,3.4746196697617675,0.30897400582367535,-1.0351276174851476,-1.9842428709176871,-0.1627042261328827
1.36,1.935060536403339,3.426045422897421,0.3034102979649112,-1.0157770121211143,-1.949982416688713,-0.1596701231532336
1.37,1.8973507165564674,3.3780427504528947,0.2981024162816267,-0.9968035049555496,-1.916201989184184,-0.15668909899041733
1.3800000000000001,1.860397548842724,3.330670423303334,0.29303196215180877,-0.9781995294671223,-1.8828952849511507,-0.15375877936889926
1.3900000000000001,1.8242072193999992,3.2839479816937827,0.2881828793343297,-0.9599574572731223,-1.8500558051342129,-0.15087695057555595
1.4000000000000001,1.788783298235962,3.237867541699132,0.283538300407111,-0.9420696242907627,-1.8176771297172216,-0.14804156757148484
1.41,1.75412557019899,3.1923990412992986,0.2790814876562536,-0.9245283685887727,-1.7857531393042287,-0.1452507526949223
1.42,1.720230147744421,3.1474955781370255,0.2747958681617939,-0.9073260671113286,-1.7542781835228585,-0.14250279401330435
1.43,1.687089904521762,3.1030987663704437,0.27066528031898707,-0.8904551680661109,-1.723247195859154,-0.13979614121011447
1.44,1.6546949216853366,3.0591437484674042,0.26667404333497174,-0.8739082188492575,-1.69265575837448,-0.13712940077676475
1.45,1.62303302998146,3.015563662190325,0.26280700415990377,-0.8576778885494429,-1.6625001217525766,-0.1345013307351657
1.46,1.592090416289011,2.9722934373540073,0.2590495411896673,-0.8417569843865528,-1.6327771873790364,-0.13191083532326903
1.47,1.561852251208128,2.9292728656957268,0.25538755211504677,-0.8261384618744715,-1.6034844587220791,-0.12935695980211856
1.48,1.5323032881968284,2.886448939232844,0.25180743555432306,-0.8108154289925033,-1.5746199693297507,-0.12683888544657532
1.49,1.5034283954865344,2.8437774918568137,0.2482960770873526,-0.7957811450376379,-1.5461821944111827,-0.12435592467570179
1.5,1.4752134943903725,2.8012241695263453,0.2448407065129472,-0.7810290100937342,-1.5181699527159191,-0.12190751761057232
