time,xi_x,xi_y,xi_z,dx_x,dx_y,dx_z,x_x,x_y,x_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
0.4,0.09519068834928657,0.029847740850510007,-0.13246900827546515,-8.162365603186956,-34.34247484558118,-2.5535484463761757,7.332755975408314,4.249134268656104,3.162688903458901,-0.05536253694369375,-0.12825474853763474,-0.08951548075605872,0.044823566637692776,0.04523487056169131,0.05439328144897934,1.300731319057873,0.4035923508295264,-1.8422210694783037
0.41000000000000003,0.09828561040080519,0.048667084276708295,-0.1311342915840208,-9.352496596246725,-32.78669266628542,-2.682310211838511,7.239231009445847,3.92126734199325,3.135865801340516,-0.04866578280691694,-0.10095623228664097,-0.08386576459795483,0.044336908809623606,0.044225308238824895,0.053554623802999794,1.3444638067290846,0.6492292580344442,-1.8224811320372392
0.42,0.1024202844549098,0.06665773432555788,-0.1299408410365941,-10.320682492702911,-31.063458733012993,-2.814985098416442,7.136024184518818,3.6106327546631203,3.1077159503563516,-0.04139941906277467,-0.07644836025304885,-0.0786103766881994,0.04392291461899586,0.04346082463629441,0.0527685200361178,1.4031711752806935,0.8952419028468026,-1.8047732767722515
0.43,0.10730276268198491,0.08294351652251919,-0.12879638748696998,-11.084710495120646,-29.286250003512762,-2.952066499393661,7.025177079567611,3.317770254627993,3.078195285362415,-0.03387827693003653,-0.0553199706100847,-0.07379370014693412,0.0435841318496955,0.04290762493019356,0.05203058303464846,1.472654736565331,1.124089392419928,-1.787794332383875
0.44,0.11252719770133357,0.09691417185323248,-0.12756978880234682,-11.685055533680758,-27.55116409360591,-3.0835591074334943,6.908326524230803,3.0422586136919336,3.04735969428808,-0.026511971953632113,-0.037894957587922495,-0.06949831648811541,0.04331901213015918,0.04252867535431434,0.05133559986976731,1.5470435014664006,1.3229200491807955,-1.7696843059894356
0.45,0.1178175967423094,0.10853923592680603,-0.12621055545575022,-12.1549089075113,-25.896528545161836,-3.203578867912113,6.78677743515569,2.7832933282403154,3.015323905608959,-0.019556370815880436,-0.023927832623193035,-0.06572265448156958,0.043123448422000374,0.042289397028082404,0.05067837332495161,1.6223128229994044,1.4889549126979116,-1.749719052885026
0.46,0.12301881988474328,0.11806809586857892,-0.12471980354975276,-12.51737690728565,-24.328790725475926,-3.3104218425560186,6.661603666082834,2.540005420985556,2.982219687183399,-0.013132991923403864,-0.012930295571948747,-0.062416268368639616,0.04299211850276634,0.042160094072362916,0.050054210641265216,1.6961806468858456,1.6248552082145578,-1.7279042670202207
0.47000000000000003,0.1280417341943929,0.12580222896863535,-0.12311883381679056,-12.789374838949096,-22.844662827176297,-3.4049766078865837,6.533709917693343,2.311558792713793,2.948169921104533,-0.007292286349739274,-0.00440578425433566,-0.05951450797688171,0.042919195639268944,0.04211603622981956,0.0494590655614964,1.7673319537401402,1.7347506684108185,-1.7045332486302525
0.48,0.13281693250166615,0.131992308062038,-0.12142624928315326,-12.985957873485823,-21.442129365572,-3.488510803681043,6.403850338958485,2.097137499058073,2.913284813067723,-0.00206401865037964,0.002053077816840332,-0.05696198863676777,0.04289855545276515,0.042136567007987964,0.04888944567512872,1.834760374220198,1.8223207863669053,-1.6798631568034796
0.49,0.13729255950097397,0.13684946568721923,-0.11965749794667468,-13.120397941295057,-20.119857440399745,-3.562299633388492,6.272646359545534,1.8959389246540757,2.877661816733838,0.002539713284932965,0.006785016879173461,-0.05471197767054109,0.04292395258561448,0.042204417176779696,0.048342325898423306,1.8977353931246106,1.8907493365474397,-1.6541083102821488
